,Tweet
124,"@firstpost @PMOIndia @PiyushGoyalOffc 
all brokers, contract labors in farm land  are protesting. Its clear case of… https://t.co/sCqF8DHAX7"
125,An investigation by Junputh (a Hindi website) and NH revealed that those who met the PM during his Kutch visit were… https://t.co/vrpU3VaHB3
126,@Biggies_MaIIs Normally we can smell the foul materials that the farmers use on the downs - so some things will tak… https://t.co/EMz0o12QDm
127,"It is farmers vs new farm bill
#farmersrprotest 
#FarmersDoneWithModiJumlas 
#FarmersProstests… https://t.co/Lzt5EzxJAZ"
128,Checking to see if any farmers have any suggestions on using a platform for direct discussions on specific issues/i… https://t.co/Cc0LSKbo21
129,"@brotherkunas Is okaaaay, I was just trying to figure out if the sugarcane farmers crisis thing was legit or another hoax :')"
130,"#FarmersDoneWithModiJumlas 

Stand with farmers,they are our heros...no farmer,no crop ,no food . https://t.co/xzPthAN6hU"
131,Congress accuses Modi's farmers outreach event of ‘deceit’ https://t.co/sCvnTVGwwJ
132,"Support farmers protest..
#FarmersDoneWithModiJumlas"
133,@Akshay34434415 @TusharBirdi @SanyalSidharth @Kaillay_kaur Problem is all farmers of country want their income equa… https://t.co/yKmt5dVjvt
134,"Kisan Congress demands Rs 1 crore compensation for families of deceased farmers  
@Kisan_Congress @SurenderAICC… https://t.co/QmwhRXazzh"
135,"Shamelessly using BJP activists as #Farmers!

Now understand who uses fake, how they propagate them.

And… https://t.co/xUWNnen8Ew"
136,#FarmersDoneWithModiJumlas Punjab is a land of Freedom Fighters. Godi media keep remember before calling us Terrori… https://t.co/d9dNMQX7r5
137,"@ks_sissy @AnnabelleTMaker There are some funny rumours going around Katie as that's not the only one I heard....
I… https://t.co/e0YW4hN2AL"
138,"@SanjayAzadSln Sanjayji, sometimes your master's action make you defend the indefensible. Question remains, why did… https://t.co/NRUvCrPxuC"
139,"@Prabhi74353734 @jazzyb Really? That's your defence? So the previous model was not working, is the reason this gove… https://t.co/rURMyWNS66"
140,"Because #Feku Ji is owned by, is #ManchurianCandidate of #AdaniAmbaniGang, who after SMEs-now wanna devastate… https://t.co/tMhF9FaI7v"
141,@Multanii12 @ArunVis53451302 @AdaniOnline M a corporate. If a state farmers gerlt hostile me like in this case punj… https://t.co/NOLhbE1EmP
142,"@harbhajan_singh @narendramodi @PMOIndia Most of you celebrity singers, cricketer and politicians are responsible f… https://t.co/EHf0OX5Aid"
143,"Go to the grocery store and buy better things. Buy quality, buy organic, buy natural, go to the farmers market. Imm… https://t.co/dLJUz0uI59"
144,"#farmersrprotest 

Latest update on 'farmers' protest.

'Farmers' spotted with infamous Khalistani Bhindarwale's po… https://t.co/Opq7nQvIbp"
145,@BJP4Bihar PROTEST OF FARMERS IS SPONSORED BY PUNJAB STATE UNDER ITALIAN CONSPIRACY !
146,Farmers #BoycottAdaniAmbani https://t.co/2GTOtpCXmw
147,Current BJP MP and former Union Minister Chaudhary Bijender Singh is the latest farmer done with Modi Jumlas. He is… https://t.co/7cNLybvTWO
148,@david_ki_kahani airports are sold now the Indian air line is going to sold to the three people on the share bases.… https://t.co/uPXzYhdfY8
149,"Solidarity from our CIA (Comrades in America)

https://t.co/jrm9fLr7Zx"
150,"Deccan Chronicle: Farmers decry forcible takeover of their land for Pharma City.
https://t.co/GuKk1KWJfY"
151,@Jasbirkaurmudd1 @narendramodi When you being educated can be speaking in this tone why uneducated farmers will not… https://t.co/74Ca8hUG04
152,"@Thikthak It is a really sad situation for farmers all around the world, a concerted effort is needed to support farmers."
153,"@KanganaTeam Also, the protest is not just about Punjab,   farmers from all over India are participating even if they couldn't reach Delhi"
154,"Last year these cold winter days were full of anxiousness, complete world was looking at hotspots of protests like… https://t.co/1JXFlvh4GQ"
155,"Today #media has started their campaign for #BJP in Bengal.

#FarmersDoneWithModiJumlas
#FarmersBill
#SoldOutMedia
#GodiMedia"
156,Then listen poor farmers 👉If you mean https://t.co/SUCrNY6DpR
157,@mvrbhat @chetan_bhagat 1/2 Govt backed private enterprises. It can be a further extension of DeMo &amp; GST for existi… https://t.co/FzgeJlNwfQ
158,"Those who accuses Farmers for not understanding the Agri Bills , should listen what India 's Former Economic Adviso… https://t.co/khOwoE2m4Y"
159,"Have they setup any health checkup stalls at the farmer protest location?

Potentially a huge corona cluster site!!… https://t.co/hULarweERR"
160,"@thehill But let's vote to give Iowa farmers welfare to make up for Trump's costly, and losing, trade war with China"
161,"Corona @ 1 crore
Petrol @ ₹90
GDP @ -23.9%
Job Loss @ 15 crore
 Farmers Protest @ 20 crore"
162,@RahulGandhi PM is busy in demonising Farmers
163,@UnSubtleDesi TOI should b sued~this was source newspaper that spread false narrative abt KR(RW)in Oct that she cal… https://t.co/DsOwtUj2dA
164,"@KanganaTeam Pahle atte ha “ kam parhe likhe”
Fr atte ha “bilkul hi anparh”
Uske bad vo “ who are saying bills are good for farmers”"
165,@PappuPa13675796 @RamneetDhindsa @TruthWins476 @KanganaTeam It's just a wrong assumptions by farmers. Don't poke ur… https://t.co/MFUgt40mU5
166,To winning the seat in west bengal BJP home minister is ready to eat in farmer house but the PM is not ready to lis… https://t.co/CNzr8Jqsfu
167,@BhejaFr64633048 @nisargandh @priyankmtr @harbhajan_singh @narendramodi @PMOIndia Central govt made a law that clea… https://t.co/5sSIiBZJtx
168,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/kbJeibWJlk
169,"#FarmersDoneWithModiJumlas
Thanks to all who are supporting farmers protest and the cause
You must not lose faith i… https://t.co/hYdUafVeBH"
170,"@KanganaTeam Hello Kangana. You are a good artist without any doubt and have evolved as an artist.
However, so far… https://t.co/iB1IDfrD45"
171,"Ravi Shankar Prasad's 'Tukde Tukde' Jibe at Farmers Reflects His Disconnect With Reality 

Once you go to Delhi, yo… https://t.co/PRGHDQhuCp"
172,@nsitharaman @PMOIndia Understand that the food grains procured from the farmers at MSP are rotting in FCI godowns… https://t.co/ax9UUnBTwh
173,"The price of onions and Hindu nationalism, by Rohit Inani (@RXinani_). In a few moments, get a sense of the farmers… https://t.co/GMwBlE4CvL"
174,"@ErAnkit14 @jazzyb It's for the benefit of such exploited farmers, the private sector will come handy. They will co… https://t.co/fYbgusSkjs"
175,"This is the language of a librandu. This Govt is honest so it has all the money to spent on every righteous need, b… https://t.co/4cV3lJcBxo"
176,"Protect your crop fields by using Kethi Rakshak.

#agriculture #Agricultural #Farmers #farming #food… https://t.co/FbUpuSYT73"
177,@Pahadi_Urban_ @tukahan @g1_mann Do think corporate is going to be mother or god figure for farmers? We know what t… https://t.co/eXSJ0Pku2P
178,"‘Given the urgency of the restoration challenge in Africa, we don’t have the luxury of first doing research and the… https://t.co/3b9namkJvL"
179,"@prettypadmaja Instead of trying to appease the rioters, govt need to instigate the real farmers to override the rioters."
180,"""while farming is about economics, farmers are about politics"" @bsindia #MSP https://t.co/jrVaE1v4GV"
181,"@invinciblewife @sharn1996 @PunYaab @sukh_slatch It's very simple:
The farm bill gives an extra option (as it keeps… https://t.co/fxWBtHBPiS"
182,@narendramodi @nstomar Please take your bill back. We know how much you care the farmers. You care only Abani and A… https://t.co/uYHODPeAwo
183,Really appreciate @AmitShah ji for obeying covid rules @WHO @PMOIndia and @MoHFW_INDIA see he set an example for ev… https://t.co/FtBAUUcXIz
184,"It's sensible people (Farmers) vs a bunch of stupids, pseudo nationalists, hatemongers and shameless goons.
#FarmersDoneWithModiJumlas"
185,"#FarmersBill
#FarmersDoneWithModiJumlas 
#FarmerProtestHijacked 
#FarmerBill2020 
The reality is nonsense n nuisanc… https://t.co/DBr6Dnwlf5"
186,Might go to the farmers market.
187,"@JRDSills @TWBFarms @handles4forks Hedges offer lots of benefits, to the crop, i can understand why farmers don't t… https://t.co/Zlr8qbjPO6"
188,"@KanganaTeam Agar desh bagti ka itna shonk hai to ,join indian army . You think farmers should believe on feku Pm.… https://t.co/WqhHKcmSEM"
189,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/TG3M7ezPdg
190,"🦠 Corona @ 1 crore
⛽ Petrol @ ₹90
📉 GDP @ -23.9%
👷‍♂️ Job Loss @ 15 crore
🚜 Farmers Protest @ 20 crore

Neither Neh… https://t.co/zKizmlwLOE"
191,@KisanSabha how can i join with maharashtra farmers from nashik to dehli
192,"Just posted a photo @ Farmers Leader कृषक अगुवा ""Dev Dhawal"" https://t.co/sJw3rO8DMK"
193,"@ItXBosS  Full #PUNJAB is for #SIKhs especially lahore, gujurunwalla and Kartarpur if Paki really love sikhs then o… https://t.co/lhXNgFNkIW"
194,@Mr_Abhimanyu @pn906 @pbhushan1 They can't digest the dignity of farmers strike.
195,"Govt wants to give a gift to farmers.
Farmers have not liked the gift and returned it.
Govt insisting that no, you… https://t.co/dZCjoP9fH7"
196,"Those Punjabis n Haryanvis buying expensive Audis, Mercs, BMWs, Pajeroes, Fortuners and Endeavors on their tax-free… https://t.co/wTbvQZmXaC"
197,@ravishndtvv @IncKinju @Cheap_News @akhterzaidi @TMaryada @SpiritOfCongres @AnjanaOmModi5 @SaveZiddi @shyam_sh999… https://t.co/Su7sRCnQaK
198,@Lotusfeetns @5Forty3 @Tejasvi_Surya Supreme court changes its approch on case to case bases in shaheen bagh and so… https://t.co/ZDWJSTXiRV
199,"*AP H.COURT JUSTICE MAHESWARI-TRANSFERRED. 
*BIG fight is on B/W AP GOVT &amp; AMARAVTHI FARMERS on shifting of CAPITAL… https://t.co/rNZkTbf3Hx"
200,"Modi thinks the farmers are ignorant, illiterate and misled. He might be surprised to learn that the farmers are re… https://t.co/hv904O3JOf"
201,@david_ki_kahani I am sending you a link of soliders video that is Sikh regiment who took the stand beside farmers.… https://t.co/DsVxOMhIQa
202,"The farmers protests give me hope for a better future.

I hope they don't settle for mere reforms and buy into fals… https://t.co/fpLsmwfouJ"
203,@PappuPa13675796 @RamneetDhindsa @TruthWins476 @KanganaTeam Let me see first what u know about india sitting in Aus… https://t.co/1jmKkABeuS
204,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas
Right g https://t.co/M7Ktq6IgEh"
205,@Anurag_Office @ianuragthakur @icsi_cs @narendramodi @nstomar 50% profit to corporate not to farmers. Farmer profit… https://t.co/CNJzsK2I4l
206,@TanmayPatel5072 @priyankmtr @nisargandh @harbhajan_singh @narendramodi Godown is private adani Ambani that will help them not farmers
207,"#jawan vs #Kisan 
#Modi has proven to be the divider of Indian society.
#farmar #Farmers
#FarmersProtest https://t.co/d3cDmQoYzp"
208,"@sriraghavanR @RKRadhakrishn People like you who think the Government is ""always right"" are the dangerous herd.

Wh… https://t.co/lfYjEoTyJ6"
209,"Editor's pick: Indian farmers protest for nearly three weeks, calling for the repeal of new legislation that they s… https://t.co/chnOeGaiwa"
210,FARMERS BILL WHICH IS A TRAP FROM THE STUBBORN GOVERNMENT SHOULD DEFINITELY BE WITHDRAWN.
211,Dozens die during India farmers’ protests; Modi offers more talks | Agriculture News | Al Jazeera https://t.co/IuJysGZlan via @AJEnglish
212,@ErAnkit14 @jazzyb Why didn't u ask the right question? Why is the neighbouring states like Rajastan buying from fa… https://t.co/ysJmWAnvNO
213,"@greenarmy62 @IainDale @wilofson_ @sturdyAlex It might indeed protect farmers and other producers, but at the cost… https://t.co/1ecbXGhMPv"
214,@ESPNcricinfo Blame the Farmers!!
215,"BJP National Executive Member Birender Singh Joins Farmers' Protest in Haryana 

Now it’s INDIA vs @narendramodi… https://t.co/ZtvhUTECHd"
216,"@simranm07225928 @imVkohli @SDhawan25 speak up for farmers bro.  
#FarmersDoneWithModiJumlas"
217,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/KRrX3NUhSX
218,"Sit down and think for once. Are we doing right by supporting modi??
Farmers are the producers we are dependent on… https://t.co/gNP7uB7fmX"
219,@IAmJha71025080 @BJP4India @narendramodi @AmitShah Bengal should not forget that it is the same @AmitShah who has c… https://t.co/ZbHQNRNgp4
220,@kaushikcbasu Lacs of poor farmers committed suicide when you were in office during UPA rule. No new laws came in t… https://t.co/b5IAfkxdI0
221,@aajtak @PoulomiMSaha no news for this channel was amit shah not eating food from so many years the food was cuming… https://t.co/KUkqTUCopI
222,"Dear @narendramodi 

#MSP can't be a legal right buy why are colonial perks and allowance granted to babus, politic… https://t.co/6rC1VxAXDl"
223,@harbhajan_singh @narendramodi @PMOIndia Is there anything wrong with farm bill ? I don’t find it . You can also go… https://t.co/9M0cJBarAG
224,"With folded hands, PM Modi urges Opposition not to mislead farmers
https://t.co/1gqIFgE1Xo

via NaMo App https://t.co/ydKW1DloLC"
225,@jagwind92512475 Support farmers
226,@NandaFalguni @AmitShahFanClub @DilipGhoshBJP Bengal should not forget that it is the same @AmitShah who has contin… https://t.co/SPnNj8eYbx
227,"@UTDTravis No , Bundesliga is farmers league and it is easy to score there instead of pl"
228,@KokiiKay It’s so wild. He was definitely playing against farmers.😭
229,@AnjalSharma_ @macdhillon2 @IAMCouncil @cjwerleman @pbhushan1 @ReallySwara @milligazette @NabiyaKhan11… https://t.co/29GHhqY9MS
230,@tanvishukla @nstomar Farmers all over India loading up Twitter right now... https://t.co/jlWL0ZaZgT
